"id","properties_stop_name","lat","lng","kod_zsj_d"
"1705","Horoměřická ul., TRAM Červený Vrch","50.09863","14.36452","1292670"
"171","Platónova","49.99863","14.41663","1285710"
"1717","Křížkový Újezdec,Čenětice","49.943290000000005","14.579170000000001","0765460"
"1719","Radějovice,Olešky","49.94913","14.57146","1374720"
"1721","Radějovice","49.9468","14.56456","1374810"
"1723","Kostelec u Křížků,Škola","49.90965","14.56347","0703010"
"1725","Cholupice","49.9869","14.445479999999998","0523960"
"1729","Strančice,Všechromy,náves","49.94897","14.6509","1870970"
"173","Petržílova","49.99912","14.423729999999999","1284810"
"1731","Jílové u Prahy,Kamenná Vrata","49.899609999999996","14.46839","3267980"
"1733","Jílové u Prahy,Luka p.Medníkem,Nádraží","49.86627","14.46212","0887570"
"1734","Luka pod Medníkem","49.86492","14.462629999999999","0887570"
"1735","Týnec n.Sáz.,Čakovice","49.86998","14.59319","1449590"
"1737","Týnec n.Sáz.,Čisté potoky","49.85998","14.584370000000002","1449590"
"1739","Hostavice","50.09022","14.563479999999998","1317090"
"1741","Týnec n.Sáz.,Zbořený Kostelec,Hrad","49.85349","14.58908","0743651"
"1743","Hrazanská","49.977579999999996","14.43951","3163000"
"1747","Mrač","49.83109","14.698129999999999","1000050"
"1748","Týnec n.Sáz.,Žel.st.","49.83419","14.592479999999998","1723910"
"175","Pavelkova","50.0","14.427929999999998","3298350"
"1751","Týnec nad Sázavou","49.83415","14.592970000000001","1723910"
"1753","Krhanice","49.85644","14.55773","0743652"
"1754","Čtyřkoly","49.86867","14.71437","0243330"
"1755","Řehenice,Dařbože","49.87218","14.61074","3263560"
"1757","Velké Popovice,pivovar","49.92176","14.6344","1793450"
"1759","Velké Popovice","49.92143","14.6445","1793450"
"1761","Benice","50.01357","14.60498","0025850"
"1765","Baterie","50.09239","14.369829999999999","1293050"
"1767","Velké Popovice,Todice","49.92205","14.64896","1793450"
"1769","Lety","49.921009999999995","14.2511","0807640"
"177","Pod Vsí","50.01127","14.514320000000001","1621320"
"1771","Šestajovice,Pražská","50.10235","14.67576","1623880"
"1773","Šestajovice,U Školy","50.11189","14.68246","1623880"
"1775","Jirny,Zámek","50.1148","14.69103","3245910"
"1777","Jirny","50.11587","14.698310000000001","0609250"
"1779","Jirny,Nové Jirny,I","50.10365","14.709000000000001","0609330"
"1781","Jirny,Nové Jirny,II","50.101440000000004","14.711210000000001","0609330"
"1783","Úvaly,Elektromechanika","50.079409999999996","14.71256","3078230"
"1785","Hostivařské náměstí","50.05012","14.5263","1320550"
"1787","Úvaly,Žel.st.","50.07438","14.722729999999999","3078230"
"1791","Úvaly","50.07512","14.722529999999999","1757310"
"1792","Škvorec,MŠ","50.050509999999996","14.73174","1627360"
"1794","Šestajovice,Balkán","50.10581","14.680270000000002","1623880"
"1796","Černošice,U Vodárny","49.967040000000004","14.329889999999999","0203890"
"1798","Černošice,Škola","49.946909999999995","14.32659","0203710"
"1799","Černošice,Žel.zast.","49.95906","14.322020000000002","0203890"
"1802","Černošice","49.95962","14.323429999999998","0203890"
"1804","Černošice,Karlštejnská","49.956379999999996","14.31155","0203890"
"1806","Třebotov,Solopisky","49.96024","14.296920000000002","1703810"
"1808","Vonoklasy,chaty","49.95452","14.28563","1849770"
"181","Na Drahách","49.95915","14.38269","3166010"
"1810","Hostýnská","50.081070000000004","14.495529999999999","1324380"
"1812","Vonoklasy","49.95053","14.276729999999999","1849850"
"1814","Vonoklasy,samoobsluha","49.94732","14.27573","1849850"
"1816","Černošice,Centrum Vráž","49.9495","14.31376","0203970"
"1818","Černošice,Husova","49.949659999999994","14.31409","0203970"
"1819","Černošice,U Transformátoru","49.94737","14.307910000000001","0203970"
"1821","Dobřichovice,Randova","49.9358","14.28336","0278120"
"1823","Dobřichovice,Pod Vinicí","49.93115","14.275879999999999","0278120"
"1825","Dobřichovice,rozc.Karlík","49.92815","14.27178","0278120"
"1828","Karlík","49.937059999999995","14.26191","0278210"
"1831","Černošice,Na Ladech","49.942679999999996","14.31763","0203710"
"1832","Kosoř","49.986059999999995","14.327470000000002","0699730"
"1834","Čínská","50.10895","14.394670000000001","1300790"
"1838","Kosoř,Rozc.","49.977129999999995","14.329379999999999","0699730"
"1840","Třebotov,Pomník","49.97571","14.30499","1703990"
"1842","Třebotov,Sanatorium","49.97475","14.297260000000001","1703990"
"1844","Zderazská","49.980709999999995","14.34804","3061930"
"1846","Třebotov","49.973240000000004","14.289629999999999","1703990"
"1848","Choteč","49.98539","14.28341","0529810"
"185","Drinopol","50.083909999999996","14.37067","1295930"
"1850","Roblín,Kuchařík","49.97744","14.249260000000001","0769450"
"1852","Vysoký Újezd,Kuchař,I","49.98194","14.23606","0769450"
"1854","Vysoký Újezd,Kuchař,II","49.982009999999995","14.23585","0769450"
"1856","Mořina,Trněný Újezd,Rozc.I","49.9699","14.21774","1683270"
"1858","Roblín","49.9618","14.24811","1401980"
"1871","Hradčanská","50.09744","14.40316","1295340"
"1872","Pražský hrad","50.097","14.404420000000002","3059280"
"1873","ul. Badeniho","50.09717","14.40536","3059280"
"1874","TRAM Holešovice, centrum, Letná","50.097120000000004","14.40412","1295340"
"1875","TRAM Petřiny, Střešovice, Břevnov","50.09726","14.404060000000001","1295340"
"1876","BUS, Dálková doprava","50.0974","14.403960000000001","1295340"
"1877","ul. Milady Horákové","50.09751","14.40455","1295340"
