"data","JSON_parentId"
"14.32143","stops.geometry_c11bb442cdf3d5f4fb54f61a491597fc"
"50.04523","stops.geometry_c11bb442cdf3d5f4fb54f61a491597fc"
"14.45581","stops.geometry_345448a3d957df2b8e6f21b42d6ebf95"
"50.14596","stops.geometry_345448a3d957df2b8e6f21b42d6ebf95"
"14.4559","stops.geometry_4f21984c5d4dd64b1e28fe7faa5333ea"
"50.14606","stops.geometry_4f21984c5d4dd64b1e28fe7faa5333ea"
"14.45935","stops.geometry_4319c29be345f88237d9c4213f47e269"
"50.00596","stops.geometry_4319c29be345f88237d9c4213f47e269"
"14.45871","stops.geometry_33bfdf2a1e9213ec6cf98e88c4e7595d"
"50.006","stops.geometry_33bfdf2a1e9213ec6cf98e88c4e7595d"
"14.43861","stops.geometry_99197906166d2059480e5d3b9f8658da"
"50.09972","stops.geometry_99197906166d2059480e5d3b9f8658da"
"14.43861","stops.geometry_bfd28c395ac80c16cd0414e7dd4abd83"
"50.09969","stops.geometry_bfd28c395ac80c16cd0414e7dd4abd83"
"14.43852","stops.geometry_0de96638712d9af29630e29163aad430"
"50.09972","stops.geometry_0de96638712d9af29630e29163aad430"
"14.43853","stops.geometry_23a8235203842c6f2ca587be86e692d0"
"50.09952","stops.geometry_23a8235203842c6f2ca587be86e692d0"
"14.43846","stops.geometry_92884ff950327d3068b4b616ba627c1f"
"50.09908","stops.geometry_92884ff950327d3068b4b616ba627c1f"
"14.43847","stops.geometry_2ff7f0514cb75b8669a2c6ee83e0e20b"
"50.09938","stops.geometry_2ff7f0514cb75b8669a2c6ee83e0e20b"
"14.43835","stops.geometry_bbd0ef9721dcf4d88ab21b87f2024b57"
"50.09898","stops.geometry_bbd0ef9721dcf4d88ab21b87f2024b57"
"14.43849","stops.geometry_d78bb897aea1dabd320c6e5cbe072d4a"
"50.1003","stops.geometry_d78bb897aea1dabd320c6e5cbe072d4a"
"14.43822","stops.geometry_2a6f1ebf674eaf5cbb9c43f9ea41c6b0"
"50.09919","stops.geometry_2a6f1ebf674eaf5cbb9c43f9ea41c6b0"
"14.43817","stops.geometry_9435bee1b9e1e73d6ad3668d0c9c8947"
"50.09906","stops.geometry_9435bee1b9e1e73d6ad3668d0c9c8947"
"14.43832","stops.geometry_dd15d64d2ec9c6f909ffb65c5447b25d"
"50.09895","stops.geometry_dd15d64d2ec9c6f909ffb65c5447b25d"
"14.43856","stops.geometry_54dd7448d2cb6ff25e87fd9c7b859ad0"
"50.09889","stops.geometry_54dd7448d2cb6ff25e87fd9c7b859ad0"
"14.43869","stops.geometry_9f5c1e7a2a233006abc35a64c5de2174"
"50.099","stops.geometry_9f5c1e7a2a233006abc35a64c5de2174"
"14.43847","stops.geometry_4ea87a6d5ee92de2a433bd37a6c26d42"
"50.09922","stops.geometry_4ea87a6d5ee92de2a433bd37a6c26d42"
"14.43855","stops.geometry_c0fe75da7c40176023081a4e0cf29f6c"
"50.09949","stops.geometry_c0fe75da7c40176023081a4e0cf29f6c"
"14.43853","stops.geometry_b69936d70f32f6a3f777134682ea3bea"
"50.10029","stops.geometry_b69936d70f32f6a3f777134682ea3bea"
"14.43849","stops.geometry_120af0df1333d94867a91b3f55b36b50"
"50.10029","stops.geometry_120af0df1333d94867a91b3f55b36b50"
"14.43659","stops.geometry_3bc62db6e1cc4670c80e4b6c525b62a3"
"50.0981","stops.geometry_3bc62db6e1cc4670c80e4b6c525b62a3"
"14.43812","stops.geometry_74b043a32a935af8f4cd63db348f7d0c"
"50.09923","stops.geometry_74b043a32a935af8f4cd63db348f7d0c"
"14.43876","stops.geometry_cd3c9e17962615d0866085613219a7c3"
"50.09881","stops.geometry_cd3c9e17962615d0866085613219a7c3"
"14.43885","stops.geometry_fc0c660fe24ff23c9f7574eae28bdbbc"
"50.1023","stops.geometry_fc0c660fe24ff23c9f7574eae28bdbbc"
"14.43881","stops.geometry_c0551002a6e5592147fec2c208593e04"
"50.09811","stops.geometry_c0551002a6e5592147fec2c208593e04"
"14.43875","stops.geometry_51c3f61984981093740153dff5976401"
"50.09834","stops.geometry_51c3f61984981093740153dff5976401"
"14.42517","stops.geometry_a2c3135c27ee414d92f727f2a5f3e68a"
"49.99747","stops.geometry_a2c3135c27ee414d92f727f2a5f3e68a"
"14.4247","stops.geometry_df29ef26a27c5e6f016f1776807357d3"
"49.99748","stops.geometry_df29ef26a27c5e6f016f1776807357d3"
"14.45278","stops.geometry_d1a1c671c850c3dab9c1cbd47196547b"
"50.13144","stops.geometry_d1a1c671c850c3dab9c1cbd47196547b"
"14.45208","stops.geometry_42f6be0bbb41c6978eb68427bbc516f0"
"50.13033","stops.geometry_42f6be0bbb41c6978eb68427bbc516f0"
"14.55884","stops.geometry_4a9360d4f24d15db4eaba3d8bd61463d"
"50.03515","stops.geometry_4a9360d4f24d15db4eaba3d8bd61463d"
"14.55897","stops.geometry_af50990c4f325a0234e851f0e10a7215"
"50.03507","stops.geometry_af50990c4f325a0234e851f0e10a7215"
"14.5668","stops.geometry_af53406a50219f952b93e94bdc410746"
"50.04052","stops.geometry_af53406a50219f952b93e94bdc410746"
"14.56709","stops.geometry_e9b8c9951a6d589c898275fca785e9dc"
"50.04145","stops.geometry_e9b8c9951a6d589c898275fca785e9dc"
"14.543","stops.geometry_f144bdc085f1622f173c9052c0de8d02"
"50.07224","stops.geometry_f144bdc085f1622f173c9052c0de8d02"
"14.54248","stops.geometry_c362d8fb938e7c163ecef8f9414ca506"
"50.0721","stops.geometry_c362d8fb938e7c163ecef8f9414ca506"
"14.43148","stops.geometry_53cfee89e66326cb8bdd8dcdd960868d"
"50.13591","stops.geometry_53cfee89e66326cb8bdd8dcdd960868d"
"14.68155","stops.geometry_d09e6b5c70dd5a1689b8eef5775d345e"
"50.07262","stops.geometry_d09e6b5c70dd5a1689b8eef5775d345e"
"14.68207","stops.geometry_b3234d18384fd3bfc43b6c844f6cb50d"
"50.07264","stops.geometry_b3234d18384fd3bfc43b6c844f6cb50d"
"14.68207","stops.geometry_a1c6e0f4d40a007d1d0a72e30b1d577a"
"50.07264","stops.geometry_a1c6e0f4d40a007d1d0a72e30b1d577a"
"14.36836","stops.geometry_a2fc1e41b83212ae234035381a30f000"
"49.9908","stops.geometry_a2fc1e41b83212ae234035381a30f000"
"14.5068","stops.geometry_345551cb76c459bd592eecfed6abab1c"
"50.08755","stops.geometry_345551cb76c459bd592eecfed6abab1c"
"14.50683","stops.geometry_0850a41913f24ad1964dade13147b8df"
"50.08742","stops.geometry_0850a41913f24ad1964dade13147b8df"
"14.36848","stops.geometry_de1e5ff21073e58be59393d8af1e26bf"
"50.0315","stops.geometry_de1e5ff21073e58be59393d8af1e26bf"
"14.36777","stops.geometry_536f1d3549a9638577235713536de09c"
"50.03151","stops.geometry_536f1d3549a9638577235713536de09c"
"14.5273","stops.geometry_30778f8453dd8902acbab6297d5bd103"
"50.03377","stops.geometry_30778f8453dd8902acbab6297d5bd103"
"14.52765","stops.geometry_196f12e2982bd92402792494fb54b919"
"50.03394","stops.geometry_196f12e2982bd92402792494fb54b919"
"14.38635","stops.geometry_79fdd1c94f84695e73ee231129128664"
"50.01167","stops.geometry_79fdd1c94f84695e73ee231129128664"
"14.53296","stops.geometry_d43c0ace1479db200eb1df8529b26d2b"
"50.09181","stops.geometry_d43c0ace1479db200eb1df8529b26d2b"
"14.41115","stops.geometry_eabadf05d83254fad1701811d88ad5de"
"50.01669","stops.geometry_eabadf05d83254fad1701811d88ad5de"
"14.4107","stops.geometry_3be8bc2c7f5dc8d7c3d0060dadbd5ce2"
"50.01675","stops.geometry_3be8bc2c7f5dc8d7c3d0060dadbd5ce2"
"14.54859","stops.geometry_4e3fab66a57252197c15f7e26a8ee0e0"
"50.05678","stops.geometry_4e3fab66a57252197c15f7e26a8ee0e0"
"14.54859","stops.geometry_bb39ab6fd328b2e48e322f8dbf70e351"
"50.05678","stops.geometry_bb39ab6fd328b2e48e322f8dbf70e351"
"14.5486","stops.geometry_23be08affd91cf68473675995bd8e1a4"
"50.05697","stops.geometry_23be08affd91cf68473675995bd8e1a4"
"14.5486","stops.geometry_339b095a73abcc36ab393bd42adc6a11"
"50.05697","stops.geometry_339b095a73abcc36ab393bd42adc6a11"
"14.35681","stops.geometry_d12ca65d53c046a20399a37e51172345"
"49.98693","stops.geometry_d12ca65d53c046a20399a37e51172345"
"14.35681","stops.geometry_6002827103199a61d602b7cb1beb1e06"
"49.98693","stops.geometry_6002827103199a61d602b7cb1beb1e06"
"14.29864","stops.geometry_a5390dbc87dd5fca56acadf02916aa26"
"50.07704","stops.geometry_a5390dbc87dd5fca56acadf02916aa26"
"14.32728","stops.geometry_4c6e27dc30c1819f7a2a9fcd9ee2a466"
"50.04185","stops.geometry_4c6e27dc30c1819f7a2a9fcd9ee2a466"
"14.32728","stops.geometry_10ba0d969bea13641b72a21279270f6b"
"50.04185","stops.geometry_10ba0d969bea13641b72a21279270f6b"
"14.32731","stops.geometry_ab177dfcfb5e98770f6a974794878dc7"
"50.04171","stops.geometry_ab177dfcfb5e98770f6a974794878dc7"
"14.32731","stops.geometry_87d70b2a092778dcb341b2965e8f64ec"
"50.04171","stops.geometry_87d70b2a092778dcb341b2965e8f64ec"
"14.39391","stops.geometry_427f968b0c817eb1dccd6677cb5fcf81"
"50.01253","stops.geometry_427f968b0c817eb1dccd6677cb5fcf81"
"14.39391","stops.geometry_06c8a5ec7324c29875589b3f2730d73c"
"50.01253","stops.geometry_06c8a5ec7324c29875589b3f2730d73c"
"14.39433","stops.geometry_0ba605e25caae245c6187ab045ad6a34"
"50.01295","stops.geometry_0ba605e25caae245c6187ab045ad6a34"
