"JSON_parentId","geometry_type","properties_level_id","properties_location_type","properties_parent_station","properties_platform_code","properties_stop_code","properties_stop_desc","properties_stop_id","properties_stop_name","properties_stop_timezone","properties_stop_url","properties_wheelchair_boarding","properties_zone_id","type"
"stops.geometry_61a89b1761b81ef5a54b4bd7b85665f6","Point","","0","","B","","","U691Z2P","Podkovářská","","","1","P","Feature"
"stops.geometry_f36024a4020267cfcee3551d13fedce7","Point","","0","","H7","","","U691Z51P","Podkovářská","","","0","P","Feature"
"stops.geometry_e88ea435e636e21ec7432bb9ea2e99c6","Point","","0","","H8","","","U691Z52P","Podkovářská","","","0","P","Feature"
"stops.geometry_0d20ddda836b1de7406e7c0e09d133ab","Point","","0","","1","","","U6920Z1","Pavlíkov,Za branou","","","0","7","Feature"
"stops.geometry_b32ac43fb38bf0e45ce91cc54dbca521","Point","","0","","2","","","U6920Z2","Pavlíkov,Za branou","","","0","7","Feature"
"stops.geometry_fe2db2bfb3f5774d4bdee2f121211100","Point","","0","","1","","","U6922Z1","Pavlíkov,Chlum","","","0","7","Feature"
"stops.geometry_34d167f555f0208a26c67f386289faa2","Point","","0","","1","","","U6923Z1","Hřebečníky,Újezdec,rozc.","","","0","7","Feature"
"stops.geometry_22ded683dda3b9c28e4da16e80ece695","Point","","0","","2","","","U6923Z2","Hřebečníky,Újezdec,rozc.","","","0","7","Feature"
"stops.geometry_cd7945e35a65dcfaa799296c659cda1f","Point","","0","","1","","","U6924Z1","Hracholusky,rozc.Novosedly","","","0","7","Feature"
"stops.geometry_f9929248d35c8994a8304e798744b921","Point","","0","","2","","","U6924Z2","Hracholusky,rozc.Novosedly","","","0","7","Feature"
"stops.geometry_809e777fb75eef9b4c57499b28a45284","Point","","0","","1","","","U6925Z1","Hracholusky","","","0","7","Feature"
"stops.geometry_a46b255f9a3db668b63a0f0353c6baca","Point","","0","","1","","","U6926Z1","Hřebečníky","","","0","7","Feature"
"stops.geometry_81a67cf1d72e0c6e08cff2d7d3e4c153","Point","","0","","2","","","U6926Z2","Hřebečníky","","","0","7","Feature"
"stops.geometry_7e5ee3c8a12093291e6c4fdcef9b6307","Point","","0","","1","","","U6927Z1","Hřebečníky,Týřovice","","","0","7","Feature"
"stops.geometry_b12790e41af145871612eb94f255b14e","Point","","0","","2","","","U6927Z2","Hřebečníky,Týřovice","","","0","7","Feature"
"stops.geometry_1f870ba990679c483ac23f3f3dd3914d","Point","","0","","1","","","U6928Z1","Skryje,u mostu","","","0","7","Feature"
