latitude,longitude,altitude,geometry,coordinates,@id,bus,highway,public_transport,name,ref,ref:PID,network,operator,wheelchair,official_status,railway,source,tram,name:de,shelter,direction,local_ref,tactile_paving,note,name:ru,name:cs,wikidata,wikipedia,colour,network:cs,network:en,network:ru,station,subway,transport,level,name:en,name:it,name:nl,alt_name:de,old_name,name:uk,railway:ref,train,uic_ref,bench,bin,destination,old_name:de,start_date,toilets:wheelchair,wheelchair:description,alt_name,layer,entrance,opening_hours,disused,covered,platforms,internet_access,bicycle,route_ref,name:tr,disused:public_transport,door,type,departures_board,amenity,official_name,description,fee,noexit,int_name,lines,access,public_transport:version,name:he,name:es,name:fi,name:fr,name:ja,name:zh,short_name,elevator,description:cs,description:en,bus_routes,capacity,stroller,website,name:ko,barrier,automatic_door,name:be,network:de,depth,name:1971-1990,alt_name:ru,name:1985-1990,check_date,name:1862-1919,name:1919-1940,name:1940-1945,name:1945-1952,name:1953-1990,name:1990-,name:de:1862-1919,name:de:1919-1940,name:de:1940-1945,ele,fixme
50.0820938,14.425608,,Point,,node/24568258,,,,"Můstek, metro A",,,,,,,subway_entrance,,,"Brückel, U-Bahn A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0830272,14.4224018,,Point,,node/24568278,,,,"Můstek, metro B",,,,,,,subway_entrance,IPR Praha:DMP,,"Brückel, U-Bahn B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0726761,14.4912084,,Point,,node/24568424,,,,Strašnická,,,,,yes,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0898643,14.4395625,,Point,,node/24568486,,,,"Florenc, metro C",,,,,no,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0468074,14.3077456,,Point,,node/24568582,,,,"Stodůlky, metro B",,,,,no,,subway_entrance,,,"Stodulek, U-Bahn B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0445227,14.3315818,,Point,,node/24568667,,,,"Lužiny, Metro B",,,,,yes,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0499866,14.3418055,,Point,,node/24568719,,,,"Hůrka, metro B",,,,,yes,,subway_entrance,,,"Hůrka, U-Bahn B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0508823,14.353305,,Point,,node/24568792,,,,"BUS Anděl, Velká Ohrada - Metro B",,U602S1E1,,,no,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0910838,14.4396683,,Point,,node/24569649,,,,"Florenc, metro C",,,,,no,,subway_entrance,,,"Florenz, U-Bahn C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0753401,14.4304439,,Point,,node/24569666,,,,"I. P. Pavlova, metro C",,,,,,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
